Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Trae Young,7:53,2.0,5.0,0.4,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,youngtr01
Dyson Daniels,8:58,1.0,4.0,0.25,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.6,-10.0,daniedy01
Onyeka Okongwu,6:55,2.0,4.0,0.5,0.0,0.0,,0.0,0.0,,3.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,4.0,4.8,-6.0,okongon01
Zaccharie Risacher,6:55,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,5.7,-6.0,risacza01
Mouhamed Gueye,4:51,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.9,1.0,gueyemo02
De'Andre Hunter,7:09,3.0,5.0,0.6,0.0,2.0,0.0,4.0,4.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,10.0,7.7,-11.0,huntede01
Vit Krejci,5:05,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.4,-4.0,krejcvi01
Garrison Mathews,3:02,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,mathega01
Keaton Wallace,4:07,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1,-11.0,wallake01
Larry Nance Jr.,5:05,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,-4.0,nancela02
Dominick Barlow,,,,,,,,,,,,,,,,,,,,,,-9999
David Roddy,,,,,,,,,,,,,,,,,,,,,,-9999
Team Totals,60,11.0,25.0,0.44,3.0,10.0,0.3,4.0,4.0,1.0,5.0,6.0,11.0,6.0,1.0,0.0,4.0,4.0,29.0,,,-9999
